student_id,full_name,birth_date,school_number,average_grade,city,district
bXlZNx,Лебедев Татьяна Андреевич,2007-10-23,29,3.39,Москва,САО
aQaGP6,Васильев Алексей Андреевич,2008-04-02,29,3.59,Казань,ЗАО
DUY3En,Петров Елена Дмитриевна,2008-01-08,74,3.32,Екатеринбург,ВАО
JHS403,Кузнецов Дмитрий Михайловна,2007-11-23,34,4.7,Санкт-Петербург,ВАО
sOavQu,Павлов Елена Андреевна,2008-11-08,20,3.47,Екатеринбург,ВАО
CnPlnY,Лебедев Алексей Александровна,2008-10-16,44,4.71,Санкт-Петербург,ЗАО
rdixuR,Козлов Николай Алексеевич,2008-06-14,78,4.4,Санкт-Петербург,САО
yWoZl0,Смирнов Дмитрий Дмитриевич,2007-05-16,44,4.33,Казань,ЦАО
h520nZ,Соловьёв Екатерина Андреевич,2008-12-15,96,3.67,Москва,ЗАО
uwsp7F,Попов Алексей Сергеевна,2007-03-15,37,3.31,Новосибирск,ЮЗАО
f0qFi6,Лебедев Сергей Сергеевич,2008-08-25,74,4.79,Новосибирск,САО
tvzkNx,Васильев Ольга Николаевич,2008-03-09,22,4.29,Москва,ВАО
dDsZOq,Волков Татьяна Александрович,2007-08-19,58,3.88,Санкт-Петербург,ЦАО
dpp1Q2,Попов Николай Андреевич,2008-08-10,39,4.57,Казань,ВАО
8HX3AS,Иванов Наталья Дмитриевна,2008-12-08,66,4.72,Москва,ВАО
GqZGwW,Новиков Татьяна Алексеевич,2007-02-27,94,3.62,Москва,ЗАО
u2403o,Зайцев Иван Александрович,2007-09-07,91,4.71,Екатеринбург,САО
13aanc,Волков Иван Михайловна,2007-03-13,47,3.36,Москва,САО
kTMNK9,Морозов Сергей Алексеевна,2008-04-13,95,4.14,Екатеринбург,ЦАО
buXOwH,Павлов Иван Михайловна,2008-10-02,35,3.39,Санкт-Петербург,ЗАО
pmFLZx,Волков Мария Николаевич,2007-06-19,58,3.24,Казань,ВАО
33kl3X,Зайцев Иван Ивановна,2007-11-09,16,3.36,Казань,САО
ox75BA,Лебедев Наталья Алексеевич,2007-08-10,39,4.68,Новосибирск,ВАО
omrtyT,Зайцев Алексей Дмитриевна,2007-04-25,54,4.84,Москва,ЮЗАО
APXTp7,Петров Александр Николаевич,2007-05-18,45,4.63,Москва,ЮЗАО
oQDzqY,Попов Андрей Дмитриевна,2007-11-01,4,4.07,Казань,ЗАО
l9VZ5z,Соколов Михаил Алексеевна,2007-08-04,36,3.23,Казань,ЗАО
Z4TMBS,Морозов Александр Михайловна,2007-02-23,41,4.87,Новосибирск,ЗАО
d0yRJo,Павлов Ольга Михайлович,2007-03-13,23,3.67,Казань,ЦАО
P169QD,Павлов Наталья Алексеевич,2008-06-09,21,3.39,Казань,САО
ahyFJk,Соловьёв Ольга Михайловна,2007-11-13,56,4.6,Екатеринбург,САО
PvXt4P,Попов Иван Александрович,2007-10-24,52,4.88,Екатеринбург,САО
wAzcZu,Смирнов Сергей Михайловна,2007-03-18,17,4.87,Санкт-Петербург,САО
T88Nn6,Лебедев Анна Александрович,2008-07-17,76,4.96,Новосибирск,ВАО
4i2BNJ,Смирнов Татьяна Дмитриевич,2007-03-08,71,4.86,Москва,ЗАО
xULyhd,Иванов Дмитрий Александровна,2007-01-26,88,4.12,Екатеринбург,САО
O3OHHA,Козлов Николай Николаевич,2008-09-21,41,4.03,Новосибирск,ЮЗАО
CtyWXN,Петров Николай Михайлович,2008-01-03,56,4.77,Новосибирск,ВАО
aknT6x,Петров Александр Михайловна,2008-07-03,12,3.77,Казань,САО
fcju5d,Соловьёв Александр Дмитриевич,2008-02-24,81,4.85,Санкт-Петербург,САО
7cJ2vO,Волков Дмитрий Андреевич,2007-07-06,100,4.64,Екатеринбург,ВАО
FDBnaJ,Васильев Ольга Андреевич,2007-11-27,33,4.79,Новосибирск,ЦАО
JfKtA6,Новиков Николай Сергеевич,2008-02-06,11,3.14,Новосибирск,ВАО
2Ti12v,Новиков Николай Михайловна,2008-11-28,10,4.78,Казань,ЦАО
XfYu56,Новиков Сергей Ивановна,2007-10-08,25,3.29,Казань,ЗАО
YziOaG,Кузнецов Мария Александрович,2007-08-24,16,4.44,Москва,ЮЗАО
e7j28Q,Козлов Алексей Александрович,2008-02-06,74,4.24,Новосибирск,ЦАО
jSq9mb,Лебедев Елена Дмитриевна,2007-04-13,39,3.38,Казань,ЦАО
CHCu45,Новиков Андрей Дмитриевич,2007-08-07,20,4.95,Казань,ЮЗАО
67HznR,Смирнов Елена Алексеевна,2008-06-11,55,4.34,Казань,САО
Jjkw6Q,Смирнов Николай Дмитриевич,2008-08-13,52,3.39,Новосибирск,САО
yfTZxr,Иванов Сергей Михайловна,2007-03-08,81,4.57,Москва,ВАО
iS5m6m,Лебедев Алексей Сергеевич,2007-12-13,42,4.71,Казань,ЗАО
uPqADG,Павлов Ольга Андреевна,2007-07-21,41,4.47,Екатеринбург,ЦАО
2RrdG4,Козлов Анна Михайлович,2008-11-12,34,4.15,Новосибирск,ЮЗАО
txqk59,Соловьёв Николай Ивановна,2008-09-01,81,3.31,Казань,ЦАО
LyYG6B,Козлов Иван Иванович,2007-07-27,79,3.69,Екатеринбург,ВАО
ogBwRw,Васильев Николай Дмитриевич,2008-08-05,58,4.78,Екатеринбург,ЮЗАО
